hv,h,v,ulx,uly,lrx,lry
h14v11,14.0,11.0,-4447802.078667,-2223901.039333,-3335851.559,-3335851.559
h14v14,14.0,14.0,-4447802.078667,-5559752.598333,-3335851.559,-6671703.118
h14v15,14.0,15.0,-4447802.078667,-6671703.118,-3335851.559,-7783653.637667
h14v16,14.0,16.0,-4447802.078667,-7783653.637667,-3335851.559,-8895604.157333
h14v17,14.0,17.0,-4447802.078667,-8895604.157333,-3335851.559,-10007554.677
h15v00,15.0,0.0,-3335851.559,10007554.677,-2223901.039333,8895604.157333
h15v01,15.0,1.0,-3335851.559,8895604.157333,-2223901.039333,7783653.637667
h15v02,15.0,2.0,-3335851.559,7783653.637667,-2223901.039333,6671703.118
h15v03,15.0,3.0,-3335851.559,6671703.118,-2223901.039333,5559752.598333
h15v05,15.0,5.0,-3335851.559,4447802.078667,-2223901.039333,3335851.559
h15v07,15.0,7.0,-3335851.559,2223901.039333,-2223901.039333,1111950.519667
h15v11,15.0,11.0,-3335851.559,-2223901.039333,-2223901.039333,-3335851.559
h15v14,15.0,14.0,-3335851.559,-5559752.598333,-2223901.039333,-6671703.118
h15v15,15.0,15.0,-3335851.559,-6671703.118,-2223901.039333,-7783653.637667
h15v16,15.0,16.0,-3335851.559,-7783653.637667,-2223901.039333,-8895604.157333
h15v17,15.0,17.0,-3335851.559,-8895604.157333,-2223901.039333,-10007554.677
h16v00,16.0,0.0,-2223901.039333,10007554.677,-1111950.519667,8895604.157333
h16v01,16.0,1.0,-2223901.039333,8895604.157333,-1111950.519667,7783653.637667
h16v02,16.0,2.0,-2223901.039333,7783653.637667,-1111950.519667,6671703.118
h16v05,16.0,5.0,-2223901.039333,4447802.078667,-1111950.519667,3335851.559
h16v06,16.0,6.0,-2223901.039333,3335851.559,-1111950.519667,2223901.039333
h16v07,16.0,7.0,-2223901.039333,2223901.039333,-1111950.519667,1111950.519667
h16v08,16.0,8.0,-2223901.039333,1111950.519667,-1111950.519667,0.0
h16v09,16.0,9.0,-2223901.039333,0.0,-1111950.519667,-1111950.519667
h16v12,16.0,12.0,-2223901.039333,-3335851.559,-1111950.519667,-4447802.078667
h16v14,16.0,14.0,-2223901.039333,-5559752.598333,-1111950.519667,-6671703.118
h16v16,16.0,16.0,-2223901.039333,-7783653.637667,-1111950.519667,-8895604.157333
h16v17,16.0,17.0,-2223901.039333,-8895604.157333,-1111950.519667,-10007554.677
h17v00,17.0,0.0,-1111950.519667,10007554.677,0.0,8895604.157333
h17v01,17.0,1.0,-1111950.519667,8895604.157333,0.0,7783653.637667
h17v02,17.0,2.0,-1111950.519667,7783653.637667,0.0,6671703.118
h17v03,17.0,3.0,-1111950.519667,6671703.118,0.0,5559752.598333
h17v04,17.0,4.0,-1111950.519667,5559752.598333,0.0,4447802.078667
h17v05,17.0,5.0,-1111950.519667,4447802.078667,0.0,3335851.559
h17v06,17.0,6.0,-1111950.519667,3335851.559,0.0,2223901.039333
h17v07,17.0,7.0,-1111950.519667,2223901.039333,0.0,1111950.519667
h17v08,17.0,8.0,-1111950.519667,1111950.519667,0.0,0.0
h17v10,17.0,10.0,-1111950.519667,-1111950.519667,0.0,-2223901.039333
h17v12,17.0,12.0,-1111950.519667,-3335851.559,0.0,-4447802.078667
h17v13,17.0,13.0,-1111950.519667,-4447802.078667,0.0,-5559752.598333
h17v15,17.0,15.0,-1111950.519667,-6671703.118,0.0,-7783653.637667
h17v16,17.0,16.0,-1111950.519667,-7783653.637667,0.0,-8895604.157333
h17v17,17.0,17.0,-1111950.519667,-8895604.157333,0.0,-10007554.677
h18v00,18.0,0.0,0.0,10007554.677,1111950.519667,8895604.157333
h18v01,18.0,1.0,0.0,8895604.157333,1111950.519667,7783653.637667
h18v02,18.0,2.0,0.0,7783653.637667,1111950.519667,6671703.118
h18v03,18.0,3.0,0.0,6671703.118,1111950.519667,5559752.598333
h18v04,18.0,4.0,0.0,5559752.598333,1111950.519667,4447802.078667
h18v05,18.0,5.0,0.0,4447802.078667,1111950.519667,3335851.559
h18v06,18.0,6.0,0.0,3335851.559,1111950.519667,2223901.039333
h18v07,18.0,7.0,0.0,2223901.039333,1111950.519667,1111950.519667
h18v08,18.0,8.0,0.0,1111950.519667,1111950.519667,0.0
h18v09,18.0,9.0,0.0,0.0,1111950.519667,-1111950.519667
h18v14,18.0,14.0,0.0,-5559752.598333,1111950.519667,-6671703.118
h18v15,18.0,15.0,0.0,-6671703.118,1111950.519667,-7783653.637667
h18v16,18.0,16.0,0.0,-7783653.637667,1111950.519667,-8895604.157333
h18v17,18.0,17.0,0.0,-8895604.157333,1111950.519667,-10007554.677
h19v00,19.0,0.0,1111950.519667,10007554.677,2223901.039333,8895604.157333
h19v01,19.0,1.0,1111950.519667,8895604.157333,2223901.039333,7783653.637667
h19v02,19.0,2.0,1111950.519667,7783653.637667,2223901.039333,6671703.118
h19v03,19.0,3.0,1111950.519667,6671703.118,2223901.039333,5559752.598333
h19v04,19.0,4.0,1111950.519667,5559752.598333,2223901.039333,4447802.078667
h19v05,19.0,5.0,1111950.519667,4447802.078667,2223901.039333,3335851.559
h19v06,19.0,6.0,1111950.519667,3335851.559,2223901.039333,2223901.039333
h19v07,19.0,7.0,1111950.519667,2223901.039333,2223901.039333,1111950.519667
h19v08,19.0,8.0,1111950.519667,1111950.519667,2223901.039333,0.0
h19v09,19.0,9.0,1111950.519667,0.0,2223901.039333,-1111950.519667
h19v10,19.0,10.0,1111950.519667,-1111950.519667,2223901.039333,-2223901.039333
h19v11,19.0,11.0,1111950.519667,-2223901.039333,2223901.039333,-3335851.559
h19v12,19.0,12.0,1111950.519667,-3335851.559,2223901.039333,-4447802.078667
h19v15,19.0,15.0,1111950.519667,-6671703.118,2223901.039333,-7783653.637667
h19v16,19.0,16.0,1111950.519667,-7783653.637667,2223901.039333,-8895604.157333
h19v17,19.0,17.0,1111950.519667,-8895604.157333,2223901.039333,-10007554.677
h20v00,20.0,0.0,2223901.039333,10007554.677,3335851.559,8895604.157333
h20v01,20.0,1.0,2223901.039333,8895604.157333,3335851.559,7783653.637667
h20v02,20.0,2.0,2223901.039333,7783653.637667,3335851.559,6671703.118
h20v03,20.0,3.0,2223901.039333,6671703.118,3335851.559,5559752.598333
h20v04,20.0,4.0,2223901.039333,5559752.598333,3335851.559,4447802.078667
h20v05,20.0,5.0,2223901.039333,4447802.078667,3335851.559,3335851.559
h20v06,20.0,6.0,2223901.039333,3335851.559,3335851.559,2223901.039333
h20v07,20.0,7.0,2223901.039333,2223901.039333,3335851.559,1111950.519667
h20v08,20.0,8.0,2223901.039333,1111950.519667,3335851.559,0.0
h20v09,20.0,9.0,2223901.039333,0.0,3335851.559,-1111950.519667
h20v10,20.0,10.0,2223901.039333,-1111950.519667,3335851.559,-2223901.039333
h20v11,20.0,11.0,2223901.039333,-2223901.039333,3335851.559,-3335851.559
h20v12,20.0,12.0,2223901.039333,-3335851.559,3335851.559,-4447802.078667
h20v13,20.0,13.0,2223901.039333,-4447802.078667,3335851.559,-5559752.598333
h20v15,20.0,15.0,2223901.039333,-6671703.118,3335851.559,-7783653.637667
h20v16,20.0,16.0,2223901.039333,-7783653.637667,3335851.559,-8895604.157333
h20v17,20.0,17.0,2223901.039333,-8895604.157333,3335851.559,-10007554.677
h21v00,21.0,0.0,3335851.559,10007554.677,4447802.078667,8895604.157333
h21v01,21.0,1.0,3335851.559,8895604.157333,4447802.078667,7783653.637667
h21v02,21.0,2.0,3335851.559,7783653.637667,4447802.078667,6671703.118
h21v03,21.0,3.0,3335851.559,6671703.118,4447802.078667,5559752.598333
h21v04,21.0,4.0,3335851.559,5559752.598333,4447802.078667,4447802.078667
h21v05,21.0,5.0,3335851.559,4447802.078667,4447802.078667,3335851.559
h21v06,21.0,6.0,3335851.559,3335851.559,4447802.078667,2223901.039333
h21v07,21.0,7.0,3335851.559,2223901.039333,4447802.078667,1111950.519667
h21v08,21.0,8.0,3335851.559,1111950.519667,4447802.078667,0.0
h21v09,21.0,9.0,3335851.559,0.0,4447802.078667,-1111950.519667
h21v10,21.0,10.0,3335851.559,-1111950.519667,4447802.078667,-2223901.039333
h21v11,21.0,11.0,3335851.559,-2223901.039333,4447802.078667,-3335851.559
h21v13,21.0,13.0,3335851.559,-4447802.078667,4447802.078667,-5559752.598333
h21v15,21.0,15.0,3335851.559,-6671703.118,4447802.078667,-7783653.637667
h21v16,21.0,16.0,3335851.559,-7783653.637667,4447802.078667,-8895604.157333
h21v17,21.0,17.0,3335851.559,-8895604.157333,4447802.078667,-10007554.677
h22v01,22.0,1.0,4447802.078667,8895604.157333,5559752.598333,7783653.637667
h22v02,22.0,2.0,4447802.078667,7783653.637667,5559752.598333,6671703.118
h22v03,22.0,3.0,4447802.078667,6671703.118,5559752.598333,5559752.598333
h22v04,22.0,4.0,4447802.078667,5559752.598333,5559752.598333,4447802.078667
h22v05,22.0,5.0,4447802.078667,4447802.078667,5559752.598333,3335851.559
h22v06,22.0,6.0,4447802.078667,3335851.559,5559752.598333,2223901.039333
h22v07,22.0,7.0,4447802.078667,2223901.039333,5559752.598333,1111950.519667
h22v08,22.0,8.0,4447802.078667,1111950.519667,5559752.598333,0.0
h22v09,22.0,9.0,4447802.078667,0.0,5559752.598333,-1111950.519667
h22v10,22.0,10.0,4447802.078667,-1111950.519667,5559752.598333,-2223901.039333
h22v11,22.0,11.0,4447802.078667,-2223901.039333,5559752.598333,-3335851.559
h22v13,22.0,13.0,4447802.078667,-4447802.078667,5559752.598333,-5559752.598333
h22v14,22.0,14.0,4447802.078667,-5559752.598333,5559752.598333,-6671703.118
h22v15,22.0,15.0,4447802.078667,-6671703.118,5559752.598333,-7783653.637667
h22v16,22.0,16.0,4447802.078667,-7783653.637667,5559752.598333,-8895604.157333
h23v01,23.0,1.0,5559752.598333,8895604.157333,6671703.118,7783653.637667
h23v02,23.0,2.0,5559752.598333,7783653.637667,6671703.118,6671703.118
h23v03,23.0,3.0,5559752.598333,6671703.118,6671703.118,5559752.598333
h23v04,23.0,4.0,5559752.598333,5559752.598333,6671703.118,4447802.078667
h23v05,23.0,5.0,5559752.598333,4447802.078667,6671703.118,3335851.559
